"Title";"Released";"ContentRating";"IMBDRating";"RottenRating";"Genre";"Description";"NumOfSeasons";"StreamingPlatform"
"Black Mirror";2011;18;8.8;92;"Drama,Science-Fiction";"A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.Black Mirror has one or more episodes streaming with subscription on Netflix, and available for purchase on iTunes. It's a drama and fantasy show with 22 episodes over 5 seasons. Black Mirror is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (417,642 votes) and was well received by critics.";"5Seasons";"Netflix"
"House";2004;16;8.7;92;"Drama,Mystery";"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.House featuring Hugh Laurie and Omar Epps has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), free on NBC, and 3 others. It's a comedy and drama show with 180 episodes over 8 seasons. House is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.7 (404,083 votes) and was very well received by critics.";"8Seasons";"Prime Video"
"Lucifer";2016;16;8.2;92;"Fantasy,Crime";"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.Lucifer featuring Tom Ellis and Lauren German has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and crime show with 75 episodes over 5 seasons. Lucifer is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (209,541 votes) and was well received by critics.";"5Seasons";"Netflix"
"Money Heist";2017;18;8.4;92;"Thriller,Action & Adventure";"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.Money Heist featuring Úrsula Corberó and Álvaro Morte has one or more episodes streaming with subscription on Netflix. It's an action & adventure and crime show with 38 episodes over 2 seasons. Money Heist is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (269,489 votes) and was very well received by critics.";"2Seasons";"Netflix"
"Mr. Robot";2015;18;8.5;92;"Drama,Thriller";"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.Mr. Robot featuring Rami Malek and Christian Slater has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with USA (Via Cable/Satellite Provider), streaming with subscription on fuboTV, and 5 others. It's a crime and drama show with 45 episodes over 4 seasons. Mr. Robot is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (321,181 votes) and was very well received by critics.";"4Seasons";"Prime Video"
"Peaky Blinders";2013;18;8.8;92;"Crime,Drama";"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.Peaky Blinders featuring Cillian Murphy and Paul Anderson has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 30 episodes over 5 seasons. Peaky Blinders is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (308,525 votes) and was very well received by critics.";"5 Seasons";"Netflix"
"Cobra Kai";2018;16;8.8;91;"Action & Adventure,Drama";"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.Cobra Kai featuring Ralph Macchio and William Zabka has one or more episodes streaming with subscription on Netflix, streaming with subscription on YouTube Premium, free on YouTube Premium, and 5 others. It's an action & adventure and comedy show with 20 episodes over 2 seasons. Cobra Kai is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (57,711 votes) and was very well received by critics.";"2Seasons";"Netflix"
"The Simpsons";1989;7;8.7;91;"Animation,Comedy";"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.The Simpsons featuring Dan Castellaneta and Julie Kavner has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FX (Via Cable/Satellite Provider), streaming with subscription on Disney+, and 7 others. It's an animation and comedy show with 684 episodes over 31 seasons. The Simpsons has a new episode airing on September 27th, 2020 (PDT). It has a high IMDb audience rating of 8.7 (356,453 votes) and was well received by critics.";"31 Seasons";"Hulu"
"The Mandalorian";2019;16;8.7;91;"Action & Adventure,Science-Fiction";"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.The Mandalorian featuring Pedro Pascal and Gina Carano has one or more episodes streaming with subscription on Disney+. It's an action & adventure and fantasy show with 8 episodes over 1 season. The Mandalorian is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (187,117 votes) and was very well received by critics.";"1Season";"Disney+"
"The Umbrella Academy";2019;18;8.0;91;"Action & Adventure,Comedy";"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.The Umbrella Academy featuring Tom Hopper and David Castañeda has one or more episodes streaming with subscription on Netflix. It's an action & adventure and comedy show with 20 episodes over 2 seasons. The Umbrella Academy is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (132,132 votes) and was well received by critics.";"2Seasons";"Netflix"
"Vikings";2013;18;8.5;91;"Action & Adventure,Drama";"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.Vikings featuring Alexander Ludwig and Jordan Patrick Smith has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 80 episodes over 6 seasons. Vikings is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (402,321 votes) and was very well received by critics.";"6Seasons";"Hulu,Prime Video"
"The Walking Dead";2010;18;8.2;91;"Drama,Horror";"Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.The Walking Dead featuring Norman Reedus and Danai Gurira has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with AMC, streaming with subscription on fuboTV, and 6 others. It's an action & adventure and drama show with 146 episodes over 10 seasons. The Walking Dead has a new episode airing on October 4th, 2020 (PDT). It has a high IMDb audience rating of 8.2 (833,324 votes) and was well received by critics.";"10Seasons";"Netflix"
"Lost";2004;16;8.3;91;"Action & Adventure,Drama";"Stripped of everything, the survivors of a horrific plane crash must work together to stay alive. But the island holds many secrets.Lost featuring Naveen Andrews and Emilie de Ravin has one or more episodes streaming with subscription on Hulu, free on IMDb TV, available for purchase on Google Play, and 2 others. It's an action & adventure and drama show with 124 episodes over 6 seasons. Lost is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (483,722 votes) and was well received by critics.";"6 Seasons";"Hulu"
"Brooklyn Nine-Nine";2013;16;8.4;91;"Comedy,Crime";"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.Brooklyn Nine-Nine featuring Andy Samberg and Melissa Fumero has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with TBS, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), and 7 others. It's an action & adventure and comedy show with 143 episodes over 7 seasons. Brooklyn Nine-Nine is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (206,113 votes) and was very well received by critics.";"7 Seasons";"Hulu"
"Sex Education";2019;16;8.3;91;"Comedy,LGBTQ";"Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.Sex Education featuring Asa Butterfield and Gillian Anderson has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 16 episodes over 2 seasons. Sex Education is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.3 (142,383 votes) and was very well received by critics.";"2Seasons";"Netflix"
"Mindhunter";2017;18;8.6;91;"Crime,Drama";"An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.Mindhunter featuring Jonathan Groff and Holt McCallany has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 19 episodes over 2 seasons. Mindhunter is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (199,286 votes) and was very well received by critics.";"2Seasons";"Netflix"
"Dexter";2006;18;8.6;91;"Crime,Drama";"Dexter Morgan, a blood spatter pattern analyst for the Miami Metro Police also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice.Dexter featuring Michael C. Hall and Jennifer Carpenter has one or more episodes streaming with subscription on Netflix, streaming on Showtime, free on Showtime FREEview, and 7 others. It's a crime and drama show with 96 episodes over 8 seasons. Dexter is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (629,796 votes) and was well received by critics.";"8Seasons";"Netflix"
"Narcos";2015;18;8.8;91;"Crime,Drama";"A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.Narcos featuring Pedro Pascal and Matias Varela has one or more episodes streaming with subscription on Netflix. It's an action & adventure and biography show with 30 episodes over 3 seasons. Narcos is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (340,614 votes) and was very well received by critics.";"3Seasons";"Netflix"
"South Park";1997;18;8.7;90;"Animation,Comedy";"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.South Park featuring Trey Parker and Matt Stone has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), and 9 others. It's an animation and comedy show with 309 episodes over 23 seasons. South Park is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (323,497 votes) and was well received by critics.";"23 Seasons";"Hulu"
"Parks and Recreation";2009;16;8.6;90;"Comedy,2009";"Hilarious ensemble comedy that follows Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana, and her tireless efforts to make her quintessentially American town just a little bit more fun.Parks and Recreation featuring Amy Poehler and Rashida Jones has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Hulu, and 10 others. It's a comedy show with 126 episodes over 7 seasons. Parks and Recreation is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (203,434 votes) and was very well received by critics.";"7Seasons";"Netflix,Prime Video"
"Marvel's Daredevil";2015;18;8.6;90;"Action & Adventure,Crime";"Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.Marvel's Daredevil featuring Charlie Cox and Deborah Ann Woll has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's an action & adventure and crime show with 39 episodes over 3 seasons. Marvel's Daredevil is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (353,578 votes) and was very well received by critics.";"3Seasons";"Netflix"
"Shameless";2011;18;8.6;90;"Comedy,Drama";"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.Shameless featuring William H. Macy and Jeremy Allen White has one or more episodes streaming with subscription on Netflix, streaming on Showtime, streaming with subscription on fuboTV, and 6 others. It's a comedy and drama show with 122 episodes over 10 seasons. Shameless is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (193,759 votes) and was well received by critics.";"10 Seasons";"Netflix"
"The Big Bang Theory";2007;16;8.1;90;"Comedy,Romance";"The Big Bang Theory is centered on five characters living in Pasadena, California: roommates Leonard Hofstadter and Sheldon Cooper; Penny, a waitress and aspiring actress who lives across the hall; and Leonard and Sheldon's equally geeky and socially awkward friends and co-workers, mechanical engineer Howard Wolowitz and astrophysicist Raj Koothrappali. The geekiness and intellect of the four guys is contrasted for comic effect with Penny's social skills and common sense.The Big Bang Theory featuring Jim Parsons and Johnny Galecki has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with TBS, and 3 others. It's a comedy and romance show with 282 episodes over 12 seasons. The Big Bang Theory is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (700,513 votes) and was well received by critics.";"12Seasons";"Hulu"
"Modern Family";2009;16;8.4;90;"Comedy,Drama";"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.Modern Family featuring Ed O'Neill and Sofía Vergara has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with ABC (Via Cable/Satellite Provider), free on ABC, and 5 others. It's a comedy and drama show with 255 episodes over 11 seasons. Modern Family is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (339,700 votes) and was well received by critics.";"11 Seasons";"Hulu"
"Suits";2011;16;8.5;90;"Drama,Comedy";"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.Suits featuring Gabriel Macht and Rick Hoffman has one or more episodes streaming with subscription on Prime Video, free on Peacock, available for purchase on iTunes, and 4 others. It's a comedy and drama show with 134 episodes over 9 seasons. Suits is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (353,576 votes) and was very well received by critics.";"9Seasons";"Prime Video"
"The Last Dance";2020;16;9.2;90;"Documentary,Biography";"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.The Last Dance featuring Michael Jordan and Scottie Pippen has one or more episodes streaming with subscription on Netflix. It's a biography and documentary show with 10 episodes over 1 season. The Last Dance is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.2 (65,724 votes) and was very well received by critics.";"1Season";"Netflix"
"Community";2009;7;8.5;90;"Comedy,2009";"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.Community featuring Alison Brie and Joel McHale has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on Sony Crackle, and 5 others. It's a comedy show with 112 episodes over 6 seasons. Community is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (205,783 votes) and was well received by critics.";"6Seasons";"Hulu,Netflix"
"It's Always Sunny in Philadelphia";2005;18;8.8;90;"Comedy,2005";"Four egocentric friends who run a neighborhood Irish pub in Philadelphia try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.It's Always Sunny in Philadelphia featuring Charlie Day and Glenn Howerton has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FX (Via Cable/Satellite Provider), streaming via tv everywhere with VICELAND (Via Cable/Satellite Provider), and 5 others. It's a comedy show with 154 episodes over 14 seasons. It's Always Sunny in Philadelphia is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (185,015 votes) and was very well received by critics.";"14Seasons";"Hulu"
"Twin Peaks";1990;18;8.8;90;"Drama,Horror";"The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.Twin Peaks featuring Kyle MacLachlan and Alicia Witt has one or more episodes streaming with subscription on Netflix, streaming with subscription on Showtime (Via Prime Video), streaming with subscription on Hulu, and 6 others. It's a crime and drama show with 48 episodes over 3 seasons. Twin Peaks is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (169,399 votes) and was well received by critics.";"3 Seasons";"Hulu,Netflix"
"Hannibal";2013;18;8.5;90;"Crime,Drama";"Both a gift and a curse, Graham has the extraordinary ability to think like his prey—he sees what they see, feels what they feel. But while Graham is pursuing an especially troubling, cannibalistic murderer, Special Agent Jack Crawford teams him with a highly respected psychiatrist – a man with a taste for the criminal minded – Dr. Hannibal Lecter.Hannibal featuring Hugh Dancy and Mads Mikkelsen has one or more episodes streaming with subscription on Netflix, and available for purchase on VUDU. It's a crime and drama show with 39 episodes over 3 seasons. Hannibal is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (220,975 votes) and was very well received by critics.";"3Seasons";"Netflix"
"Ozark";2017;18;8.4;90;"Crime,Drama";"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.Ozark featuring Jason Bateman and Laura Linney has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 30 episodes over 3 seasons. Ozark is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (170,038 votes) and was well received by critics.";"3Seasons";"Netflix"
"Seinfeld";1989;7;8.8;90;"Comedy,Stand-up & Talk";"A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.Seinfeld featuring Jerry Seinfeld and Jason Alexander has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with TBS, streaming with subscription on fuboTV, and 3 others. It's a Comedy and Stand up & Talk show with 190 episodes over 9 seasons. Seinfeld is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (246,958 votes) and was well received by critics.";"9Seasons";"Hulu"
"The Haunting";2018;18;8.7;89;"Horror,Drama";"The Crains, a fractured family, confront haunting memories of their old home and the terrifying events that drove them from it.The Haunting featuring Michiel Huisman and Elizabeth Reaser has one or more episodes streaming with subscription on Netflix, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a drama and horror show with 10 episodes over 1 season. The Haunting is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (154,025 votes) and was very well received by critics.";"1Season";"Netflix"
"Fullmetal Alchemist: Brotherhood";2009;18;9.1;89;"Action & Adventure,Anime";"Edward and Alphonse Elric's reckless disregard for alchemy's fun­damental laws ripped half of Ed's limbs from his body and left Al's soul clinging to a cold suit of armor. To restore what was lost, the brothers scour a war-torn land for the Philosopher's Sto­ne, a fabled relic which grants the ability to perform alchemy in impossible ways. The Elrics are not alone in their search; the corrupt State Military is also eager to harness the artifact's power. So too are the strange Homunculi and their shadowy creator. The mythical gem lures exotic alchemists from distant kingdoms, scarring some deeply enough to inspire murder. As the Elrics find their course altered by these enemies and allies, their purpose remains unchanged – and their bond unbreakable.Fullmetal Alchemist: Brotherhood featuring Romi Park and Rie Kugimiya has one or more episodes streaming with subscription on Netflix, streaming with subscription on HBO MAX, streaming with subscription on Hulu, and 2 others. It's an action & adventure and animation show with 64 episodes over 1 season. Fullmetal Alchemist: Brotherhood is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.1 (109,584 votes) and was very well received by critics.";"1Season";"Netflix"
"The Witcher";2019;18;8.2;89;"Drama,Action & Adventure";"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.The Witcher featuring Henry Cavill and Freya Allan has one or more episodes streaming with subscription on Netflix. It's an action & adventure and drama show with 8 episodes over 1 season. The Witcher is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (268,685 votes) and was well received by critics.";"1Season";"Netflix"
